0.87913,-0.3475,-3.3883
2.2323,-1.5855,-1.9615
-5.7667,6.6024,5.3676
1.0621,2.5428,4.5524
-0.047967,1.0737,1.0721
-2.0304,2.2515,2.2345
-1.4326,3.7599,1.0072
-4.5929,4.0536,2.4454
-1.965,3.1395,1.0903
0.27238,-0.76454,-1.1809
4.1284,-3.9189,-1.6033
1.5662,-3.089,2.1576
-0.33811,0.87711,2.0554
-1.4392,-0.59293,-0.36217
1.0437,-0.85849,-1.2973
-0.62475,0.73894,0.94156
0.72024,0.62759,-1.2955
3.3811,-4.1182,-1.6703
-1.2661,1.5731,-1.1545
-0.73831,1.4419,1.676
-2.0028,0.98155,0.82879
-1.186,3.0207,0.1289
0.85435,-3.1525,-1.5924
2.5481,0.099688,1.1221
-0.51999,0.38108,-1.1473
-0.098357,-1.8368,0.73229
-1.7985,2.0002,2.129
-2.0858,3.0148,2.3815
-3.0513,2.6899,1.2526
0.96047,-1.5412,-1.7488
-2.4028,1.3992,1.0834
3.635,-0.93046,0.281
3.3746,-4.3336,-0.65845
-2.0752,0.085894,-1.332
0.51895,-0.5088,0.45528
-2.3874,2.1453,1.109
5.0545,-3.9257,-3.2075
-1.5285,0.73721,-1.6082
-1.0261,2.6256,2.155
-0.28718,-2.3815,-1.8118
0.18246,3.836,2.0685
-0.12122,-1.3273,-0.4087
0.70691,0.65145,1.0523
-0.6684,-2.032,-1.2354
-2.8964,1.4165,0.42298
0.52224,-0.60601,1.6912
0.80681,-0.51913,0.034335
2.697,-3.7374,-0.42848
2.0721,-3.752,-1.7346
1.1032,-2.1246,1.4463
0.65766,-0.095272,-0.052157
-2.2333,1.6762,-0.19983
-2.5137,2.1435,-0.33716
0.90992,-1.9606,-1.2719
-7.2252,7.4661,2.4832
3.3718,-3.7849,-1.2982
0.39886,-0.74529,-1.998
-0.88937,-2.1444,0.50027
-0.062064,0.62451,-0.19543
-0.23418,0.54944,1.293
-1.0691,-0.56662,-1.2731
-2.5839,2.7619,1.5586
-4.009,3.4493,0.99021
0.50528,-0.72645,-0.32641
-0.44163,0.12843,0.076936
-1.9753,3.6235,0.70037
-1.4107,1.4704,0.27484
-2.9757,2.2805,0.46059
-0.9655,1.3958,0.39211
-0.61587,-0.54592,-0.21908
-1.9347,1.6749,-1.3136
2.0861,-3.2838,-1.7613
-1.8465,2.0394,2.2951
-0.82993,0.68938,2.4052
3.7309,-2.9381,-2.2592
-0.63274,0.16953,0.4141
-1.4755,1.4794,0.58784
1.003,-3.0016,-1.1117
-0.1065,-0.57658,0.018704
-4.362,1.2192,1.8637
